Zip,Median,Mean,Pop,Wealth,Ratio
1001,56663,66688,16445,10025,0.18
1002,49853,75063,28069,25209,0.51
1003,28462,35121,8491,6659,0.23
1005,75423,82442,4798,7019,0.09
1007,79076,85802,12962,6725,0.09
1008,63980,78391,1244,14411,0.23
1009,51452,66737,889,15285,0.30
1010,75625,80919,3340,5294,0.07
1011,63476,77443,1323,13967,0.22
1012,58750,74722,677,15972,0.27
1013,36578,46179,22907,9600,0.26
1020,50058,58516,29626,8457,0.17
1022,50440,60797,2124,10356,0.21
1026,60320,71505,1052,11185,0.19
1027,58573,66613,17452,8040,0.14
1028,80252,94891,14143,14639,0.18
1029,62955,97075,663,34120,0.54
1030,71106,81727,11702,10620,0.15
1031,61250,76417,1192,15167,0.25
1032,67692,79796,498,12104,0.18
1034,63980,78391,1910,14411,0.23
1035,69911,73973,4801,4062,0.06
1036,78869,95493,5089,16624,0.21
1037,61250,76417,627,15167,0.25
1038,53939,72430,2557,18491,0.34
1039,66284,78497,1291,12212,0.18
1040,35549,43615,39827,8065,0.23
1050,62097,70566,2380,8469,0.14
1053,60477,77611,1720,17134,0.28
1054,67831,86678,1656,18847,0.28
1056,63318,72027,21205,8709,0.14
1057,73254,78485,8474,5230,0.07
1060,48069,67478,15578,19408,0.40
1062,60686,82398,11283,21711,0.36
1063,40694,32047,393,-8647,-0.21
1066,53939,72430,71,18491,0.34
1068,77396,81314,1651,3918,0.05
1069,50345,65297,8789,14951,0.30
1070,60320,71505,573,11185,0.19
1071,63980,78391,1518,14411,0.23
1072,67831,86678,1503,18847,0.28
1073,80738,94452,5366,13714,0.17
1074,75423,82442,315,7019,0.09
1075,63053,76027,17179,12973,0.21
1077,73645,81585,8842,7940,0.11
1079,51452,66737,625,15285,0.30
1080,50100,59535,2208,9435,0.19
1081,65917,76367,1581,10450,0.16
1082,51936,60093,10125,8157,0.16
1083,55030,70156,2887,15126,0.27
1084,58750,74722,158,15972,0.27
1085,57598,68897,40392,11298,0.20
1086,93611,83650,323,-9961,-0.11
1088,53939,72430,622,18491,0.34
1089,53711,64226,27894,10514,0.20
1092,55030,70156,1215,15126,0.27
1093,59722,72440,340,12718,0.21
1094,61250,76417,340,15167,0.25
1095,89486,101878,13572,12391,0.14
1096,66148,78920,2143,12772,0.19
1097,63980,78391,113,14411,0.23
1098,60320,71505,1212,11185,0.19
1103,16963,25747,2731,8784,0.52
1104,35380,43969,22078,8589,0.24
1105,17756,27144,12816,9388,0.53
1106,91889,134662,15880,42772,0.47
1107,23557,33974,11615,10417,0.44
1108,37411,48866,26060,11455,0.31
1109,34638,44049,30683,9410,0.27
1118,55853,62546,14283,6692,0.12
1119,45184,52187,13170,7003,0.15
1128,63177,66605,3040,3428,0.05
1129,58704,66403,6982,7698,0.13
1151,34175,50951,8302,16776,0.49
1199,48306,58759,14,10453,0.22
1201,46765,57694,43838,10928,0.23
1220,38379,50308,8947,11929,0.31
1222,47145,68665,821,21520,0.46
1223,48478,71204,2287,22726,0.47
1224,66458,82491,197,16033,0.24
1225,57419,75267,3264,17848,0.31
1226,57505,70710,7099,13204,0.23
1229,55096,70740,129,15644,0.28
1230,53584,73996,8654,20411,0.38
1235,63877,73062,2597,9185,0.14
1236,55718,74247,1656,18529,0.33
1237,69659,87759,2426,18100,0.26
1238,51053,64187,6110,13134,0.26
1240,60458,74117,4787,13658,0.23
1242,60604,74264,254,13660,0.23
1243,60320,71505,360,11185,0.19
1244,57917,73592,136,15675,0.27
1245,63152,90383,989,27230,0.43
1247,38405,48295,16957,9889,0.26
1253,62955,97075,607,34120,0.54
1254,79145,103371,1070,24226,0.31
1255,62955,97075,824,34120,0.54
1256,54167,59862,701,5695,0.11
1257,47145,68665,2223,21520,0.46
1258,55764,80635,401,24871,0.45
1259,57917,73592,640,15675,0.27
1260,53297,67749,225,14451,0.27
1262,55096,70740,1357,15644,0.28
1264,63250,89918,160,26668,0.42
1266,64328,79025,1681,14696,0.23
1267,69925,104709,8683,34783,0.50
1270,70662,76919,761,6257,0.09
1301,47833,54338,18444,6505,0.14
1330,70326,81554,1512,11228,0.16
1331,49110,59949,12856,10838,0.22
1337,57550,68074,2649,10524,0.18
1338,56596,67203,184,10607,0.19
1339,6531,7755,181,1224,0.19
1341,70326,81554,1743,11228,0.16
1342,61912,77805,1140,15893,0.26
1343,54167,59862,73,5695,0.11
1344,54836,62158,1216,7322,0.13
1347,50189,64302,214,14113,0.28
1349,51401,63743,1116,12341,0.24
1351,50189,64302,2301,14113,0.28
1354,57550,68074,1367,10524,0.18
1355,67831,86678,820,18847,0.28
1360,70606,75984,2952,5378,0.08
1364,44676,51820,7633,7143,0.16
1366,68374,75325,1186,6951,0.10
1368,61950,70261,1256,8310,0.13
1370,53003,62787,4020,9784,0.18
1373,61438,76643,4618,15205,0.25
1375,59722,72440,3769,12718,0.21
1376,36099,49132,5149,13032,0.36
1378,54836,62158,742,7322,0.13
1379,54836,62158,949,7322,0.13
1420,48606,60461,39333,11854,0.24
1430,79875,81308,5551,1432,0.02
1431,80143,92672,2833,12529,0.16
1432,55863,70682,7008,14819,0.27
1434,119016,144183,1017,25166,0.21
1436,66138,70269,3097,4131,0.06
1438,66138,70269,413,4131,0.06
1440,51232,61725,20904,10492,0.20
1450,123278,142339,9547,19061,0.15
1451,141274,170088,4922,28814,0.20
1452,82443,89101,3901,6658,0.08
1453,57280,69264,41066,11983,0.21
1460,103751,114888,8147,11137,0.11
1462,84911,92795,9475,7884,0.09
1463,85403,96368,11120,10965,0.13
1464,72598,76269,6374,3671,0.05
1467,141274,170088,328,28814,0.20
1468,66138,70269,3134,4131,0.06
1469,78502,85145,6892,6643,0.08
1473,79073,86554,6906,7481,0.09
1474,78207,84939,2302,6732,0.09
1475,56274,66418,9597,10143,0.18
1501,70683,81298,15923,10615,0.15
1503,92917,109928,2517,17011,0.18
1504,74067,80879,8824,6811,0.09
1505,88214,128553,4083,40339,0.46
