BUILDING IRN,BUILDING NAME,DISTRICT IRN,DISTRICT NAME,ADDRESS,CITY,STATE,ZIP CODE,PHONE,PRINCIPAL,COUNTY,GRADE SPAN,INDICATORS MET GRADE,PERFORMANCE INDEX SCORE GRADE,4-YEAR GRADUATION RATE GRADE,5-YEAR GRADUATION RATE GRADE,OVERALL VALUE-ADDED GRADE,GIFTED VALUE-ADDED GRADE,LOWEST 20% VALUE-ADDED GRADE,SWD VALUE-ADDED GRADE,AMO GRADE,K-3 LITERACY IMPROVEMENT GRADE,ACHIEVEMENT COMPONENT GRADE,GRADUATION COMPONENT GRADE,PROGRESS COMPONENT GRADE,GAP CLOSING COMPONENT GRADE,K-3 LITERACY COMPONENT GRADE,PREPARED FOR SUCCESS GRADE
000059,Ada Elementary School,045187,Ada Exempted Village,435 Grand Ave,Ada,OH,45810-1013,(419) 634-2341,Robin E. Vanbuskirk,Hardin,K-6,D,B,NR,NR,A,F,D,B,C,B,C,NR,B,C,B,NR
000067,Ada High School,045187,Ada Exempted Village,435 Grand Ave,Ada,OH,45810-1013,(419) 634-2746,Robin E. Vanbuskirk,Hardin,7-12,F,C,B,B,A,B,C,C,D,NR,C,B,B,D,NR,C
000083,Sandusky Middle School,044743,Sandusky City,318 Columbus Ave,Sandusky,OH,44870-2616,(419) 984-1180,Marie A. Prieto,Erie,7-8,F,D,NR,NR,F,F,F,F,F,NR,D,NR,F,F,NR,NR
000102,Meigs Primary School,048520,Meigs Local,36871 State Route 124,Middleport,OH,45760-9717,(740) 742-3000,Kristin C. Baer,Meigs,K-2,NR,NR,NR,NR,NR,NR,NR,NR,NR,B,NR,NR,NR,NR,B,NR
000105,Meigs Intermediate School,048520,Meigs Local,36871 State Route 124,Middleport,OH,45760-9717,(740) 742-2666,IRENE C. Murphy,Meigs,3-5,F,D,NR,NR,F,D,F,F,F,F,D,NR,D,F,F,NR
000116,Hamilton Freshman School,044107,Hamilton City,2260 NW Washington Blvd.,Hamilton,OH,45013,(513) 896-3400,Jeffrey D. Miller,Butler,9,F,D,NR,NR,C,C,D,F,A,NR,D,NR,C,A,NR,F
000117,Adamsville Elementary School,048876,Tri-Valley Local,7950 East St,Adamsville,OH,43802-9024,(740) 796-2153,Michael D. Smith,Muskingum,K-6,F,C,NR,NR,C,NR,A,C,C,C,C,NR,B,C,C,NR
000118,Hamilton Intermediate School,046953,Hamilton Local,765 Rathmell Rd,Columbus,OH,43207-4737,(614) 491-8044,Kelly L. Buxton,Franklin,4-6,F,C,NR,NR,C,C,C,B,F,NR,D,NR,B,F,NR,NR
000119,Oak Hill Middle/High School,047761,Oak Hill Union Local,5063 State Route 93,Oak Hill,OH,45656-9408,(740) 682-7055,Randall L. Layton,Jackson,6-12,F,C,A,B,A,A,D,F,F,NR,D,B,B,F,NR,D
000124,Oak Hill Elementary,047761,Oak Hill Union Local,401 Evans St,Oak Hill,OH,45656-1131,(740) 682-7096,Adam D. Michael,Jackson,K-5,F,C,NR,NR,B,C,A,B,B,C,C,NR,B,B,C,NR
000135,South Vienna Middle School,046250,Northeastern Local,140 W Main St,South Vienna,OH,45369-9753,(937) 346-0880,Belinda B. Banks,Clark,6-8,F,C,NR,NR,A,A,A,A,F,NR,D,NR,A,F,NR,NR
000137,Northridge Middle School,046250,Northeastern Local,4445 Ridgewood Rd E,Springfield,OH,45503-5933,(937) 399-2852,"Gary A. Miller, Jr.",Clark,6-8,F,C,NR,NR,A,A,A,A,F,NR,D,NR,A,F,NR,NR
000138,Pathway School of Discovery,000138,Pathway School of Discovery,173 Avondale Dr,Dayton,OH,45404-2123,(937) 235-5498,Keith B. Colbert,Montgomery,K-8,F,D,NR,NR,C,NR,C,C,F,C,D,NR,C,F,C,NR
000139,Alliance Academy of Cincinnati,000139,Alliance Academy of Cincinnati,1712 Duck Creek Rd,Cincinnati,OH,45207-1644,(513) 751-5555,Elizabeth L. King,Hamilton,K-8,F,D,NR,NR,F,NR,F,F,F,C,F,NR,F,F,C,NR
000141,Addaville Elementary School,065680,Gallia County Local,1333 Brick School Rd,Gallipolis,OH,45631-8782,(740) 367-7283,Thomas B. Mitchem,Gallia,"K-5,P",F,C,NR,NR,A,B,B,NR,F,D,D,NR,A,F,D,NR
000177,Fairland West Elementary School,047936,Fairland Local,110 Township Road 1125,Proctorville,OH,45669-8519,(740) 886-3150,Mary T. Johnson,Lawrence,3-5,A,B,NR,NR,D,NR,D,F,B,F,B,NR,D,B,F,NR
000187,Centerburg Middle School,047829,Centerburg Local,3782 Columbus Road,Centerburg,OH,43011,(740) 625-6055,RYAN S. GALLWITZ,Knox,6-8,F,D,NR,NR,A,C,A,B,F,NR,D,NR,B,F,NR,NR
000190,Buckeye West Elementary School,047787,Buckeye Local,243 N Mill St,Adena,OH,43901-7992,(740) 546-3413,Lucas R. Parsons,Jefferson,"K-6,P",F,C,NR,NR,C,C,A,A,F,C,D,NR,B,F,C,NR
000208,Adena High School,049494,Adena Local,3367 County Road 550,Frankfort,OH,45628-9503,(740) 998-2313,,Ross,9-12,F,D,A,B,F,B,D,F,D,NR,D,B,D,D,NR,D
000222,Wildwood Environmental Academy,000222,Wildwood Environmental Academy,1546 Dartford Rd,Maumee,OH,43537-1374,(419) 868-9885,Elizabeth A. Lewin,Lucas,K-12,F,D,B,NR,A,NR,C,F,F,C,D,B,B,F,C,F
000224,Adlai Stevenson School,043786,Cleveland Municipal,18300 Woda Avenue,Cleveland,OH,44122-6441,(216) 838-5300,Christopher T. Wyland,Cuyahoga,K-8,F,F,NR,NR,F,NR,F,F,F,C,F,NR,F,F,C,NR
000231,Unioto Elementary,049536,Union-Scioto Local,138 Sandusky Blvd,Chillicothe,OH,45601-9432,(740) 773-4103,Martha K. Mercer,Ross,"K-5,P",F,B,NR,NR,A,C,C,F,C,B,C,NR,B,C,B,NR
000232,Adrian Elementary School,044792,South Euclid-Lyndhurst City,1071 Homestead Rd,South Euclid,OH,44121-3580,(216) 691-2170,Mark D. Woodby,Cuyahoga,K-3,F,C,NR,NR,NR,NR,NR,NR,F,C,D,NR,NR,F,C,NR
000234,Ella P. Stewart Academy for Girls,044909,Toledo City,707 Avondale Ave,Toledo,OH,43604-8305,(419) 671-5350,Teresa L. Quinn,Lucas,"P,K-8",F,D,NR,NR,F,NR,D,NR,F,C,D,NR,D,F,C,NR
000236,"Ohio Connections Academy, Inc",000236,"Ohio Connections Academy, Inc",3740 Euclid Ave Ste 101,Cleveland,OH,44115-2229,(513) 486-9120,,Cuyahoga,K-12,F,D,F,F,F,NR,D,F,F,C,D,F,D,F,C,F
000241,Quaker Digital Academy,044487,New Philadelphia City,248 Front Ave SW,New Philadelphia,OH,44663-2150,(330) 364-0618,Stephen C. Eckert,Tuscarawas,K-12,F,D,F,F,F,NR,F,F,F,NR,F,F,F,F,NR,F
000242,North Union Elementary School,050336,North Union Local School District,420 Grove St,Richwood,OH,43344-9022,(740) 943-3113,Darlene S. Allison,Union,"K-5,P",F,B,NR,NR,A,C,A,A,B,C,C,NR,B,B,C,NR
000257,Alexander Elementary School,045906,Alexander Local,6105 School Road,Albany,OH,45710-9236,(740) 698-8831,Melissa K. Guffey,Athens,"K-5,P",F,C,NR,NR,A,A,A,A,C,C,D,NR,A,C,C,NR
000265,Albion Elementary School,044545,North Royalton City,9360 Albion Rd,North Royalton,OH,44133-1768,(440) 582-9060,Vincent D. Ketterer,Cuyahoga,K-4,B,A,NR,NR,A,C,NR,B,A,B,B,NR,B,A,B,NR
000270,Main Street School,044560,Norwalk City,80 E Main St,Norwalk,OH,44857-1714,,Daniel G. Bauman,Huron,5-6,F,C,NR,NR,F,D,C,C,F,NR,D,NR,D,F,NR,NR
000291,Malvern Middle School,046177,Brown Local,3242 Coral Rd NW,Malvern,OH,44644-9467,(330) 863-1355,Scott M. Bowling,Carroll,6-8,F,D,NR,NR,F,NR,D,B,F,NR,D,NR,D,F,NR,NR
000296,Summit Academy Community School-Columbus,000296,Summit Academy Community School-Columbus,2521 Fairwood Ave Ste 100,Columbus,OH,43207-2712,(614) 237-5497,Cheryl L. Elliott,Franklin,K-5,NR,F,NR,NR,F,NR,C,C,NR,C,F,NR,D,NR,C,NR
000297,Summit Academy Community School - Dayton,000297,Summit Academy Community School - Dayton,4128 Cedar Ridge Rd,Dayton,OH,45414-3908,(937) 278-4298,Megan E. Fagan,Montgomery,K-8,F,F,NR,NR,F,NR,D,F,F,C,F,NR,D,F,C,NR
